Date,مذاكرة,
2022-07-12,Entry(timestamp=2022-07-12, value=-1),
2022-07-11,Entry(timestamp=2022-07-11, value=-1),
2022-07-10,Entry(timestamp=2022-07-10, value=-1),
2022-07-09,Entry(timestamp=2022-07-09, value=-1),
2022-07-08,Entry(timestamp=2022-07-08, value=-1),
2022-07-07,Entry(timestamp=2022-07-07, value=-1),
2022-07-06,Entry(timestamp=2022-07-06, value=-1),
2022-07-05,Entry(timestamp=2022-07-05, value=-1),
2022-07-04,Entry(timestamp=2022-07-04, value=-1),
2022-07-03,Entry(timestamp=2022-07-03, value=-1),
2022-07-02,Entry(timestamp=2022-07-02, value=-1),
2022-07-01,Entry(timestamp=2022-07-01, value=-1),
2022-06-30,Entry(timestamp=2022-06-30, value=-1),
2022-06-29,Entry(timestamp=2022-06-29, value=-1),
2022-06-28,Entry(timestamp=2022-06-28, value=-1),
2022-06-27,Entry(timestamp=2022-06-27, value=-1),
2022-06-26,Entry(timestamp=2022-06-26, value=-1),
2022-06-25,Entry(timestamp=2022-06-25, value=-1),
2022-06-24,Entry(timestamp=2022-06-24, value=-1),
2022-06-23,Entry(timestamp=2022-06-23, value=-1),
2022-06-22,Entry(timestamp=2022-06-22, value=-1),
2022-06-21,Entry(timestamp=2022-06-21, value=1500),
2022-06-20,Entry(timestamp=2022-06-20, value=-1),
2022-06-19,Entry(timestamp=2022-06-19, value=2000),
2022-06-18,Entry(timestamp=2022-06-18, value=-1),
2022-06-17,Entry(timestamp=2022-06-17, value=-1),
2022-06-16,Entry(timestamp=2022-06-16, value=-1),
2022-06-15,Entry(timestamp=2022-06-15, value=-1),
2022-06-14,Entry(timestamp=2022-06-14, value=-1),
2022-06-13,Entry(timestamp=2022-06-13, value=-1),
2022-06-12,Entry(timestamp=2022-06-12, value=-1),
2022-06-11,Entry(timestamp=2022-06-11, value=-1),
2022-06-10,Entry(timestamp=2022-06-10, value=-1),
2022-06-09,Entry(timestamp=2022-06-09, value=-1),
2022-06-08,Entry(timestamp=2022-06-08, value=-1),
2022-06-07,Entry(timestamp=2022-06-07, value=-1),
2022-06-06,Entry(timestamp=2022-06-06, value=-1),
2022-06-05,Entry(timestamp=2022-06-05, value=-1),
2022-06-04,Entry(timestamp=2022-06-04, value=-1),
2022-06-03,Entry(timestamp=2022-06-03, value=-1),
2022-06-02,Entry(timestamp=2022-06-02, value=-1),
2022-06-01,Entry(timestamp=2022-06-01, value=-1),
2022-05-31,Entry(timestamp=2022-05-31, value=-1),
2022-05-30,Entry(timestamp=2022-05-30, value=3000),
2022-05-29,Entry(timestamp=2022-05-29, value=3000),
2022-05-28,Entry(timestamp=2022-05-28, value=2000),
2022-05-27,Entry(timestamp=2022-05-27, value=-1),
2022-05-26,Entry(timestamp=2022-05-26, value=-1),
2022-05-25,Entry(timestamp=2022-05-25, value=-1),
2022-05-24,Entry(timestamp=2022-05-24, value=-1),
2022-05-23,Entry(timestamp=2022-05-23, value=-1),
2022-05-22,Entry(timestamp=2022-05-22, value=-1),
2022-05-21,Entry(timestamp=2022-05-21, value=-1),
2022-05-20,Entry(timestamp=2022-05-20, value=-1),
2022-05-19,Entry(timestamp=2022-05-19, value=-1),
2022-05-18,Entry(timestamp=2022-05-18, value=-1),
2022-05-17,Entry(timestamp=2022-05-17, value=2000),
2022-05-16,Entry(timestamp=2022-05-16, value=-1),
2022-05-15,Entry(timestamp=2022-05-15, value=3150),
2022-05-14,Entry(timestamp=2022-05-14, value=-1),
